"weight";"lat";"lon"
"49";"38.735";"-90.633"
"49";"38.665";"-90.853"
"49";"38.615";"-90.633"
"49";"38.845";"-90.413"
"49";"38.755";"-90.573"
"49";"38.645";"-90.983"
"49";"38.625";"-90.573"
"49";"38.565";"-90.923"
"49";"38.685";"-90.683"
"49";"38.655";"-90.993"
"49";"38.585";"-90.593"
"49";"38.555";"-90.933"
"49";"38.555";"-90.603"
"49";"38.865";"-90.783"
"49";"38.835";"-90.413"
"49";"38.725";"-90.483"
"49";"38.635";"-90.633"
"48";"38.895";"-90.873"
"48";"38.865";"-90.603"
"48";"38.785";"-90.402"
"48";"38.735";"-90.643"
"48";"38.715";"-90.953"
"48";"38.625";"-90.433"
"48";"38.585";"-90.873"
"48";"38.715";"-90.573"
"48";"38.605";"-90.473"
"48";"38.975";"-90.343"
"48";"38.905";"-90.423"
"48";"38.815";"-90.413"
"48";"38.805";"-90.613"
"48";"38.785";"-90.652"
"48";"38.685";"-91.243"
"48";"38.675";"-90.813"
"48";"38.675";"-90.753"
"48";"38.605";"-90.643"
"48";"38.875";"-90.603"
"48";"38.805";"-90.513"
"48";"38.725";"-90.723"
"48";"38.675";"-90.763"
"48";"38.665";"-90.483"
"48";"38.635";"-90.493"
"48";"38.635";"-90.483"
"48";"38.625";"-90.773"
"47";"38.635";"-90.453"
"47";"38.625";"-90.643"
"47";"38.905";"-90.433"
"47";"38.895";"-90.883"
"47";"38.855";"-90.563"
"47";"38.825";"-90.753"
"47";"38.775";"-90.542"
"47";"38.745";"-90.503"
"47";"38.715";"-90.703"
"47";"38.645";"-90.503"
"47";"38.615";"-90.663"
"47";"38.945";"-90.823"
"47";"38.765";"-90.713"
"47";"38.745";"-90.493"
"47";"38.855";"-90.573"
"47";"38.785";"-90.663"
"47";"38.775";"-90.373"
"47";"38.655";"-90.953"
"47";"38.605";"-90.523"
"46";"38.895";"-90.902"
"46";"38.875";"-90.673"
"46";"38.795";"-90.763"
"46";"38.595";"-90.863"
"46";"38.945";"-90.383"
"46";"38.895";"-90.773"
"46";"38.895";"-90.453"
"46";"38.855";"-90.593"
"46";"38.765";"-90.473"
"46";"38.625";"-90.623"
"46";"38.625";"-90.453"
"46";"38.875";"-90.513"
"46";"38.785";"-90.683"
"46";"38.745";"-90.483"
"46";"38.695";"-90.753"
"46";"38.695";"-90.693"
"46";"38.685";"-90.573"
"46";"38.655";"-91.263"
"46";"38.645";"-90.483"
"46";"38.615";"-90.783"
"46";"38.675";"-90.843"
"46";"38.595";"-90.593"
"45";"38.895";"-90.333"
"45";"38.855";"-90.542"
"45";"38.825";"-90.423"
"45";"38.735";"-90.683"
"45";"38.695";"-90.823"
"45";"38.695";"-90.423"
"45";"38.675";"-90.803"
"45";"38.585";"-91.023"
"45";"38.585";"-90.902"
"45";"38.915";"-90.413"
"45";"38.895";"-90.803"
"45";"38.855";"-90.303"
"45";"38.615";"-90.733"
"45";"38.585";"-90.603"
"45";"38.865";"-90.763"
"45";"38.565";"-90.703"
"45";"38.935";"-90.833"
"45";"38.925";"-90.583"
"45";"38.895";"-90.553"
"45";"38.815";"-90.623"
"45";"38.695";"-90.673"
"45";"38.625";"-90.513"
"45";"38.525";"-90.873"
"45";"38.885";"-90.713"
"45";"38.695";"-90.843"
"45";"38.615";"-90.973"
"45";"38.575";"-90.913"
"45";"38.575";"-90.583"
"44";"38.795";"-90.523"
"44";"38.735";"-90.603"
"44";"38.645";"-90.763"
"44";"38.605";"-90.723"
"44";"38.685";"-91.233"
"44";"38.685";"-90.953"
"44";"38.675";"-90.423"
"44";"38.835";"-90.423"
"44";"38.765";"-90.623"
"44";"38.605";"-90.563"
"44";"38.595";"-90.883"
"44";"38.765";"-90.433"
"44";"38.715";"-90.463"
"44";"38.655";"-90.913"
"44";"38.635";"-90.433"
"44";"38.615";"-90.573"
"44";"38.605";"-90.603"
"43";"38.875";"-90.413"
"43";"38.865";"-90.413"
"43";"38.795";"-90.643"
"43";"38.755";"-90.493"
"43";"38.725";"-90.603"
"43";"38.725";"-90.593"
"43";"38.715";"-90.693"
"43";"38.615";"-90.963"
"43";"38.615";"-90.713"
"43";"38.985";"-91.323"
"43";"38.895";"-90.843"
"43";"38.825";"-90.633"
"43";"38.815";"-90.833"
"43";"38.785";"-90.693"
"43";"38.765";"-90.463"
"43";"38.755";"-90.652"
"43";"38.715";"-90.743"
"43";"38.655";"-91.273"
"43";"38.575";"-90.603"
"43";"39.005";"-90.303"
"43";"38.955";"-90.363"
"43";"38.915";"-90.983"
"43";"38.845";"-90.453"
"43";"38.735";"-90.693"
"43";"38.635";"-90.823"
"43";"38.615";"-90.393"
"43";"38.915";"-90.423"
"43";"38.775";"-90.713"
"43";"38.775";"-90.673"
"43";"38.775";"-90.523"
"43";"38.765";"-90.513"
"43";"38.695";"-90.253"
"43";"38.665";"-90.523"
"42";"38.885";"-90.353"
"42";"38.835";"-90.553"
"42";"38.785";"-90.743"
"42";"38.765";"-90.353"
"42";"38.685";"-91.333"
"42";"38.645";"-90.913"
"42";"38.615";"-90.693"
"42";"38.605";"-90.792"
"42";"38.955";"-91.133"
"42";"38.875";"-90.443"
"42";"38.855";"-90.553"
"42";"38.835";"-90.483"
"42";"38.765";"-90.423"
"42";"38.695";"-90.703"
"42";"38.585";"-90.923"
"42";"38.585";"-90.583"
"42";"38.545";"-90.583"
"42";"38.895";"-90.313"
"42";"38.885";"-90.703"
"42";"38.805";"-90.603"
"42";"38.755";"-90.693"
"42";"38.685";"-90.433"
"42";"38.615";"-90.613"
"42";"38.605";"-90.303"
"42";"38.885";"-90.383"
"42";"38.775";"-90.663"
"42";"38.735";"-90.573"
"42";"38.725";"-90.713"
"42";"38.715";"-90.663"
"42";"38.665";"-90.783"
"42";"38.625";"-90.463"
"42";"38.615";"-90.563"
"42";"38.605";"-90.533"
"42";"38.855";"-90.373"
"42";"38.775";"-90.743"
"42";"38.755";"-90.473"
"42";"38.685";"-91.253"
"42";"38.685";"-90.753"
"42";"38.675";"-90.792"
"42";"38.645";"-90.993"
"41";"38.805";"-90.693"
"41";"38.795";"-90.902"
"41";"38.795";"-90.623"
"41";"38.785";"-90.383"
"41";"38.655";"-90.933"
"41";"38.615";"-90.853"
"41";"38.795";"-90.693"
"41";"38.735";"-90.463"
"41";"38.685";"-90.803"
"41";"38.675";"-90.973"
"41";"38.615";"-90.643"
"41";"38.885";"-90.542"
"41";"38.755";"-90.613"
"41";"38.695";"-90.593"
"41";"38.635";"-90.353"
"41";"38.615";"-90.323"
"41";"38.595";"-91.013"
"41";"38.825";"-90.563"
"41";"38.805";"-90.663"
"41";"38.785";"-90.723"
"41";"38.755";"-90.343"
"41";"38.715";"-90.763"
"41";"38.685";"-91.273"
